"Serve test"
"20 serving sequences. Alternating deuce court to ad court."
955Twenty_serve.WAV
,SHOT_TYPE,ROTARY_TYPE,DELAY,SCORE_METHOD,LEVEL,COMMENT,SPEED,ELEVATION,SPIN
,DROP,CENTER,9.9,SERVE_DEUCE,2.5,654TODE.WAV,,,
,DROP,CENTER,9.9,SERVE_AD,2.5,653TOAD.WAV,,,
,DROP,CENTER,9.9,SERVE_DEUCE,2.5,654TODE.WAV,,,
,DROP,CENTER,9.9,SERVE_AD,2.5,653TOAD.WAV,,,
,DROP,CENTER,9.9,SERVE_DEUCE,2.5,654TODE.WAV,,,
,DROP,CENTER,9.9,SERVE_AD,2.5,653TOAD.WAV,,,
,DROP,CENTER,9.9,SERVE_DEUCE,2.5,654TODE.WAV,,,
,DROP,CENTER,9.9,SERVE_AD,2.5,653TOAD.WAV,,,
,DROP,CENTER,9.9,SERVE_DEUCE,2.5,654TODE.WAV,,,
,DROP,CENTER,9.9,SERVE_AD,2.5,653TOAD.WAV,,,
,DROP,CENTER,9.9,SERVE_DEUCE,2.5,654TODE.WAV,,,
,DROP,CENTER,9.9,SERVE_AD,2.5,653TOAD.WAV,,,
,DROP,CENTER,9.9,SERVE_DEUCE,2.5,654TODE.WAV,,,
,DROP,CENTER,9.9,SERVE_AD,2.5,653TOAD.WAV,,,
,DROP,CENTER,9.9,SERVE_DEUCE,2.5,654TODE.WAV,,,
,DROP,CENTER,9.9,SERVE_AD,2.5,653TOAD.WAV,,,
,DROP,CENTER,9.9,SERVE_DEUCE,2.5,654TODE.WAV,,,
,DROP,CENTER,9.9,SERVE_AD,2.5,653TOAD.WAV,,,
,DROP,CENTER,9.9,SERVE_DEUCE,2.5,654TODE.WAV,,,
,DROP,CENTER,9.9,SERVE_AD,2.5,653TOAD.WAV,,,
